"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Influenza A",10
"São Paulo","Influenza B",10
"São Paulo","Coronavirus SARS-CoV2",2
"Paraná",Rinovirus,7
"Paraná","Coronavirus NL63",2
"Paraná","Coronavirus 229E",1
"Paraná","Influenza B",1
"Paraná",Metapneumovirus,1
Bahia,"Influenza B",3
Bahia,"Influenza A",2
Bahia,Rinovirus,2
Bahia,"Coronavirus NL63",1
"Ceará","Influenza A",4
"Ceará","Influenza B",2
"Minas Gerais","Influenza B",4
"Minas Gerais","Influenza A",1
"Minas Gerais",Metapneumovirus,1
"Piauí","Virus Sincicial Respiratorio",4
"Piauí","Influenza A",1
"Rio de Janeiro","Coronavirus NL63",2
"Rio de Janeiro",Rinovirus,2
"Rio de Janeiro","Virus Sincicial Respiratorio",1
"Maranhão","Influenza A",4
"Mato Grosso do Sul","Influenza A",1
"Mato Grosso do Sul","Influenza B",1
"Mato Grosso do Sul","Virus Sincicial Respiratorio",1
Alagoas,"Influenza A",2
"Espírito Santo","Coronavirus NL63",1
"Espírito Santo","Coronavirus SARS-CoV2",1
"Pará","Influenza A",1
"Pará",Metapneumovirus,1
Pernambuco,"Influenza B",2
"Santa Catarina","Influenza A",2
Amazonas,Adenovirus,1
"Mato Grosso","Influenza A",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",1
