"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",809
"Espírito Santo","Coronavirus SARS-CoV2",551
"Paraná","Coronavirus SARS-CoV2",514
"Paraná",Rinovirus,2
"Paraná","Virus Sincicial Respiratorio",1
Bahia,"Coronavirus SARS-CoV2",505
Sergipe,"Coronavirus SARS-CoV2",295
Pernambuco,"Coronavirus SARS-CoV2",288
"Rio Grande do Norte","Coronavirus SARS-CoV2",245
"Rio de Janeiro","Coronavirus SARS-CoV2",244
"Ceará","Coronavirus SARS-CoV2",224
"Rondônia","Coronavirus SARS-CoV2",219
"Santa Catarina","Coronavirus SARS-CoV2",197
"Mato Grosso","Coronavirus SARS-CoV2",178
Roraima,"Coronavirus SARS-CoV2",176
Tocantins,"Coronavirus SARS-CoV2",159
"Amapá","Coronavirus SARS-CoV2",151
"Minas Gerais","Coronavirus SARS-CoV2",147
Acre,"Coronavirus SARS-CoV2",125
"Paraíba","Coronavirus SARS-CoV2",121
"Piauí","Coronavirus SARS-CoV2",120
"Mato Grosso do Sul","Coronavirus SARS-CoV2",100
"Rio Grande do Sul","Coronavirus SARS-CoV2",91
Alagoas,"Coronavirus SARS-CoV2",84
"Maranhão","Coronavirus SARS-CoV2",73
"Pará","Coronavirus SARS-CoV2",73
Amazonas,"Coronavirus SARS-CoV2",62
"Goiás","Coronavirus SARS-CoV2",61
"Distrito Federal","Coronavirus SARS-CoV2",1
