"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",317
"Rio de Janeiro","Coronavirus SARS-CoV2",170
Amazonas,"Coronavirus SARS-CoV2",100
"Ceará","Coronavirus SARS-CoV2",66
"Maranhão","Coronavirus SARS-CoV2",53
"Maranhão","Influenza B",1
"Maranhão",Metapneumovirus,1
"Paraná","Coronavirus SARS-CoV2",29
"Paraná",Rinovirus,5
"Paraná",Metapneumovirus,4
"Paraná","Virus Sincicial Respiratorio",4
"Paraná","Influenza A",1
Pernambuco,"Coronavirus SARS-CoV2",34
Pernambuco,"Influenza B",3
Bahia,"Coronavirus SARS-CoV2",23
Bahia,"Influenza B",2
Bahia,"Parainfluenza tipo 4",1
"Piauí",Metapneumovirus,15
"Piauí","Virus Sincicial Respiratorio",6
"Piauí","Coronavirus SARS-CoV2",3
"Piauí","Parainfluenza tipo 3",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",20
"Espírito Santo","Coronavirus SARS-CoV2",10
"Espírito Santo","Virus Sincicial Respiratorio",6
"Espírito Santo","Influenza B",2
"Amapá","Coronavirus SARS-CoV2",14
"Amapá","Influenza A",1
"Amapá",Metapneumovirus,1
"Rio Grande do Norte","Coronavirus SARS-CoV2",15
"Rio Grande do Norte","Influenza B",1
"Santa Catarina","Coronavirus SARS-CoV2",13
"Santa Catarina","Parainfluenza tipo 1",1
"Mato Grosso do Sul","Virus Sincicial Respiratorio",4
"Mato Grosso do Sul","Influenza A",3
"Mato Grosso do Sul","Influenza B",2
"Mato Grosso do Sul","Parainfluenza tipo 1",2
"Mato Grosso do Sul","Coronavirus SARS-CoV2",1
"Pará","Coronavirus SARS-CoV2",7
"Pará","Influenza A",4
"Goiás","Coronavirus SARS-CoV2",3
"Goiás",Metapneumovirus,3
"Goiás","Influenza B",1
"Goiás",Rinovirus,1
"Goiás","Virus Sincicial Respiratorio",1
Roraima,"Coronavirus SARS-CoV2",9
"Minas Gerais","Coronavirus SARS-CoV2",8
"Mato Grosso","Coronavirus SARS-CoV2",7
"Paraíba","Coronavirus SARS-CoV2",6
Sergipe,"Coronavirus SARS-CoV2",3
Sergipe,"Influenza A",3
Alagoas,"Coronavirus SARS-CoV2",5
Tocantins,"Influenza A",2
Tocantins,"Influenza B",1
"Rondônia","Influenza B",2
Acre,"Coronavirus SARS-CoV2",1
