"UF de residência","Vírus","Nº de vírus identificados"
"Espírito Santo","Coronavirus SARS-CoV2",331
Bahia,"Coronavirus SARS-CoV2",297
"São Paulo","Coronavirus SARS-CoV2",288
Sergipe,"Coronavirus SARS-CoV2",226
"Ceará","Coronavirus SARS-CoV2",195
"Rio de Janeiro","Coronavirus SARS-CoV2",189
Pernambuco,"Coronavirus SARS-CoV2",169
"Amapá","Coronavirus SARS-CoV2",136
Alagoas,"Coronavirus SARS-CoV2",100
"Pará","Coronavirus SARS-CoV2",75
"Rio Grande do Norte","Coronavirus SARS-CoV2",75
"Paraíba","Coronavirus SARS-CoV2",69
"Rondônia","Coronavirus SARS-CoV2",66
Tocantins,"Coronavirus SARS-CoV2",56
"Piauí","Coronavirus SARS-CoV2",55
"Paraná","Coronavirus SARS-CoV2",52
"Paraná",Rinovirus,1
"Minas Gerais","Coronavirus SARS-CoV2",49
"Santa Catarina","Coronavirus SARS-CoV2",49
"Maranhão","Coronavirus SARS-CoV2",43
Acre,"Coronavirus SARS-CoV2",42
"Rio Grande do Sul","Coronavirus SARS-CoV2",41
Amazonas,"Coronavirus SARS-CoV2",40
"Mato Grosso","Coronavirus SARS-CoV2",34
"Goiás","Coronavirus SARS-CoV2",16
"Goiás",Rinovirus,1
Roraima,"Coronavirus SARS-CoV2",17
"Mato Grosso do Sul","Coronavirus SARS-CoV2",14
"Distrito Federal","Coronavirus SARS-CoV2",1
