"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",587
Bahia,"Coronavirus SARS-CoV2",572
"Espírito Santo","Coronavirus SARS-CoV2",464
Sergipe,"Coronavirus SARS-CoV2",406
Pernambuco,"Coronavirus SARS-CoV2",395
"Ceará","Coronavirus SARS-CoV2",297
"Rio de Janeiro","Coronavirus SARS-CoV2",270
"Paraná","Coronavirus SARS-CoV2",247
"Rio Grande do Norte","Coronavirus SARS-CoV2",231
"Amapá","Coronavirus SARS-CoV2",229
"Rondônia","Coronavirus SARS-CoV2",220
"Mato Grosso","Coronavirus SARS-CoV2",174
Tocantins,"Coronavirus SARS-CoV2",147
"Santa Catarina","Coronavirus SARS-CoV2",140
"Piauí","Coronavirus SARS-CoV2",133
"Maranhão","Coronavirus SARS-CoV2",129
"Pará","Coronavirus SARS-CoV2",125
Alagoas,"Coronavirus SARS-CoV2",111
"Mato Grosso do Sul","Coronavirus SARS-CoV2",111
Roraima,"Coronavirus SARS-CoV2",111
Amazonas,"Coronavirus SARS-CoV2",92
"Minas Gerais","Coronavirus SARS-CoV2",89
"Minas Gerais","Virus Sincicial Respiratorio",1
Acre,"Coronavirus SARS-CoV2",84
"Paraíba","Coronavirus SARS-CoV2",83
"Rio Grande do Sul","Coronavirus SARS-CoV2",78
"Goiás","Coronavirus SARS-CoV2",33
