"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.098"
"Paraná","Coronavirus SARS-CoV2","2.218"
"Paraná",Rinovirus,6
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2","1.017"
Bahia,Rinovirus,6
Bahia,"Virus Sincicial Respiratorio",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",727
"Rio de Janeiro","Coronavirus SARS-CoV2",493
Tocantins,"Coronavirus SARS-CoV2",468
"Santa Catarina","Coronavirus SARS-CoV2",447
"Goiás","Coronavirus SARS-CoV2",412
"Minas Gerais","Coronavirus SARS-CoV2",404
"Minas Gerais",Adenovirus,1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",387
"Piauí","Coronavirus SARS-CoV2",365
"Ceará","Coronavirus SARS-CoV2",327
"Espírito Santo","Coronavirus SARS-CoV2",299
Pernambuco,"Coronavirus SARS-CoV2",293
Pernambuco,"Virus Sincicial Respiratorio",2
"Rondônia","Coronavirus SARS-CoV2",255
"Rio Grande do Norte","Coronavirus SARS-CoV2",136
Sergipe,"Coronavirus SARS-CoV2",115
Amazonas,"Coronavirus SARS-CoV2",46
"Paraíba","Coronavirus SARS-CoV2",40
"Pará","Coronavirus SARS-CoV2",39
"Maranhão","Coronavirus SARS-CoV2",35
Acre,"Coronavirus SARS-CoV2",29
"Mato Grosso","Coronavirus SARS-CoV2",27
"Distrito Federal","Coronavirus SARS-CoV2",13
Roraima,"Coronavirus SARS-CoV2",11
Alagoas,"Coronavirus SARS-CoV2",6
"Amapá","Coronavirus SARS-CoV2",3
