"UF de residência","Vírus","Nº de vírus identificados"
Bahia,"Coronavirus SARS-CoV2",353
"São Paulo","Coronavirus SARS-CoV2",346
"São Paulo",Adenovirus,1
"Espírito Santo","Coronavirus SARS-CoV2",321
"Ceará","Coronavirus SARS-CoV2",222
"Amapá","Coronavirus SARS-CoV2",206
Sergipe,"Coronavirus SARS-CoV2",205
"Rio de Janeiro","Coronavirus SARS-CoV2",201
Pernambuco,"Coronavirus SARS-CoV2",159
Alagoas,"Coronavirus SARS-CoV2",139
Acre,"Coronavirus SARS-CoV2",112
"Pará","Coronavirus SARS-CoV2",97
"Rondônia","Coronavirus SARS-CoV2",86
"Rio Grande do Norte","Coronavirus SARS-CoV2",85
"Santa Catarina","Coronavirus SARS-CoV2",63
"Paraná","Coronavirus SARS-CoV2",58
Tocantins,"Coronavirus SARS-CoV2",56
"Maranhão","Coronavirus SARS-CoV2",55
"Paraíba","Coronavirus SARS-CoV2",51
Roraima,"Coronavirus SARS-CoV2",51
"Minas Gerais","Coronavirus SARS-CoV2",46
"Piauí","Coronavirus SARS-CoV2",43
"Rio Grande do Sul","Coronavirus SARS-CoV2",33
"Goiás","Coronavirus SARS-CoV2",25
Amazonas,"Coronavirus SARS-CoV2",3
"Mato Grosso do Sul","Coronavirus SARS-CoV2",1
