"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.243"
"Paraná","Coronavirus SARS-CoV2","2.063"
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2","1.203"
Bahia,"Virus Sincicial Respiratorio",2
"Santa Catarina","Coronavirus SARS-CoV2",732
Pernambuco,"Coronavirus SARS-CoV2",578
Sergipe,"Coronavirus SARS-CoV2",576
"Rio Grande do Sul","Coronavirus SARS-CoV2",531
"Minas Gerais","Coronavirus SARS-CoV2",472
"Espírito Santo","Coronavirus SARS-CoV2",461
"Rio de Janeiro","Coronavirus SARS-CoV2",355
"Rio Grande do Norte","Coronavirus SARS-CoV2",327
"Rondônia","Coronavirus SARS-CoV2",312
Tocantins,"Coronavirus SARS-CoV2",265
"Mato Grosso do Sul","Coronavirus SARS-CoV2",238
"Ceará","Coronavirus SARS-CoV2",203
"Piauí","Coronavirus SARS-CoV2",149
"Pará","Coronavirus SARS-CoV2",128
Acre,"Coronavirus SARS-CoV2",114
"Goiás","Coronavirus SARS-CoV2",111
"Paraíba","Coronavirus SARS-CoV2",93
Roraima,"Coronavirus SARS-CoV2",66
Amazonas,"Coronavirus SARS-CoV2",44
"Maranhão","Coronavirus SARS-CoV2",41
Alagoas,"Coronavirus SARS-CoV2",27
"Amapá","Coronavirus SARS-CoV2",24
"Distrito Federal","Coronavirus SARS-CoV2",6
"Mato Grosso","Coronavirus SARS-CoV2",6
