"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.894"
"Paraná","Coronavirus SARS-CoV2","1.839"
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",766
Bahia,Rinovirus,6
"Rio de Janeiro","Coronavirus SARS-CoV2",692
"Rio Grande do Sul","Coronavirus SARS-CoV2",578
"Ceará","Coronavirus SARS-CoV2",448
"Santa Catarina","Coronavirus SARS-CoV2",415
"Minas Gerais","Coronavirus SARS-CoV2",383
"Mato Grosso do Sul","Coronavirus SARS-CoV2",378
Tocantins,"Coronavirus SARS-CoV2",337
Pernambuco,"Coronavirus SARS-CoV2",302
"Espírito Santo","Coronavirus SARS-CoV2",299
"Piauí","Coronavirus SARS-CoV2",272
"Goiás","Coronavirus SARS-CoV2",267
"Rondônia","Coronavirus SARS-CoV2",259
"Rio Grande do Norte","Coronavirus SARS-CoV2",167
Sergipe,"Coronavirus SARS-CoV2",134
"Pará","Coronavirus SARS-CoV2",89
Amazonas,"Coronavirus SARS-CoV2",82
Amazonas,"Virus Sincicial Respiratorio",1
"Paraíba","Coronavirus SARS-CoV2",70
"Mato Grosso","Coronavirus SARS-CoV2",69
Acre,"Coronavirus SARS-CoV2",31
"Maranhão","Coronavirus SARS-CoV2",28
Roraima,"Coronavirus SARS-CoV2",27
Alagoas,"Coronavirus SARS-CoV2",12
"Distrito Federal","Coronavirus SARS-CoV2",6
