"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.343"
"Paraná","Coronavirus SARS-CoV2",809
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",336
"Santa Catarina","Coronavirus SARS-CoV2",301
Sergipe,"Coronavirus SARS-CoV2",256
"Rio Grande do Sul","Coronavirus SARS-CoV2",239
"Minas Gerais","Coronavirus SARS-CoV2",212
"Espírito Santo","Coronavirus SARS-CoV2",198
Pernambuco,"Coronavirus SARS-CoV2",197
"Mato Grosso do Sul","Coronavirus SARS-CoV2",186
Tocantins,"Coronavirus SARS-CoV2",177
"Ceará","Coronavirus SARS-CoV2",143
"Rio de Janeiro","Coronavirus SARS-CoV2",114
"Rondônia","Coronavirus SARS-CoV2",97
"Goiás","Coronavirus SARS-CoV2",92
"Rio Grande do Norte","Coronavirus SARS-CoV2",78
"Piauí","Coronavirus SARS-CoV2",72
"Pará","Coronavirus SARS-CoV2",63
"Pará",Rinovirus,1
Acre,"Coronavirus SARS-CoV2",45
"Paraíba","Coronavirus SARS-CoV2",29
Alagoas,"Coronavirus SARS-CoV2",18
Roraima,"Coronavirus SARS-CoV2",15
"Amapá","Coronavirus SARS-CoV2",9
"Maranhão","Coronavirus SARS-CoV2",6
"Mato Grosso","Coronavirus SARS-CoV2",2
Amazonas,"Coronavirus SARS-CoV2",1
"Distrito Federal","Coronavirus SARS-CoV2",1
