"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.627"
"Paraná","Coronavirus SARS-CoV2","1.669"
"Paraná",Rinovirus,6
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",690
"Rio Grande do Sul","Coronavirus SARS-CoV2",678
"Santa Catarina","Coronavirus SARS-CoV2",608
Tocantins,"Coronavirus SARS-CoV2",489
"Rondônia","Coronavirus SARS-CoV2",417
"Mato Grosso do Sul","Coronavirus SARS-CoV2",411
Pernambuco,"Coronavirus SARS-CoV2",411
"Ceará","Coronavirus SARS-CoV2",368
"Espírito Santo","Coronavirus SARS-CoV2",343
"Rio de Janeiro","Coronavirus SARS-CoV2",332
Sergipe,"Coronavirus SARS-CoV2",305
Sergipe,"Virus Sincicial Respiratorio",1
"Minas Gerais","Coronavirus SARS-CoV2",290
"Goiás","Coronavirus SARS-CoV2",285
"Rio Grande do Norte","Coronavirus SARS-CoV2",250
"Piauí","Coronavirus SARS-CoV2",131
"Paraíba","Coronavirus SARS-CoV2",72
"Pará","Coronavirus SARS-CoV2",58
Acre,"Coronavirus SARS-CoV2",51
Amazonas,"Coronavirus SARS-CoV2",50
"Maranhão","Coronavirus SARS-CoV2",39
"Maranhão","Influenza A",1
Roraima,"Coronavirus SARS-CoV2",17
Alagoas,"Coronavirus SARS-CoV2",16
"Amapá","Coronavirus SARS-CoV2",13
"Mato Grosso","Coronavirus SARS-CoV2",9
"Distrito Federal","Coronavirus SARS-CoV2",7
