"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",270
"São Paulo","Influenza A",6
"São Paulo","Influenza B",3
"São Paulo","Virus Sincicial Respiratorio",1
"Paraná","Coronavirus SARS-CoV2",37
"Paraná",Rinovirus,30
"Paraná",Adenovirus,5
"Paraná",Metapneumovirus,4
"Paraná","Virus Sincicial Respiratorio",4
"Paraná","Influenza B",3
"Paraná","Influenza A",2
"Ceará","Coronavirus SARS-CoV2",82
Bahia,"Coronavirus SARS-CoV2",36
Bahia,"Influenza A",10
Bahia,"Influenza B",5
Bahia,Rinovirus,1
"Rio Grande do Norte","Coronavirus SARS-CoV2",41
"Rio Grande do Norte","Influenza B",1
"Rio de Janeiro","Coronavirus SARS-CoV2",39
Amazonas,"Coronavirus SARS-CoV2",26
Pernambuco,"Influenza A",13
Pernambuco,"Coronavirus SARS-CoV2",8
Pernambuco,"Influenza B",3
"Piauí","Influenza A",7
"Piauí",Metapneumovirus,5
"Piauí","Parainfluenza tipo 1",4
"Piauí","Virus Sincicial Respiratorio",3
"Piauí","Coronavirus SARS-CoV2",2
"Piauí",Adenovirus,1
"Piauí","Parainfluenza tipo 2",1
"Piauí","Parainfluenza tipo 3",1
"Pará","Influenza A",12
"Pará","Coronavirus SARS-CoV2",8
"Maranhão","Coronavirus SARS-CoV2",9
"Maranhão","Influenza B",5
"Maranhão","Influenza A",2
"Maranhão",Metapneumovirus,1
"Maranhão","Virus Sincicial Respiratorio",1
"Mato Grosso do Sul","Influenza A",8
"Mato Grosso do Sul","Virus Sincicial Respiratorio",4
"Mato Grosso do Sul","Coronavirus SARS-CoV2",3
"Mato Grosso do Sul",Adenovirus,1
"Mato Grosso do Sul","Influenza B",1
"Mato Grosso do Sul","Parainfluenza tipo 1",1
"Santa Catarina","Coronavirus SARS-CoV2",15
"Santa Catarina","Virus Sincicial Respiratorio",3
"Espírito Santo","Coronavirus SARS-CoV2",6
"Espírito Santo","Virus Sincicial Respiratorio",5
"Espírito Santo","Influenza A",3
"Espírito Santo","Influenza B",2
"Goiás",Metapneumovirus,4
"Goiás","Virus Sincicial Respiratorio",3
"Goiás","Influenza A",2
"Goiás",Adenovirus,1
"Goiás","Coronavirus SARS-CoV2",1
"Goiás","Influenza B",1
"Minas Gerais","Coronavirus SARS-CoV2",11
"Minas Gerais","Influenza B",1
"Rondônia","Influenza B",4
"Rondônia","Influenza A",2
"Rondônia","Coronavirus SARS-CoV2",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",6
"Amapá","Coronavirus SARS-CoV2",5
Sergipe,"Influenza B",2
Sergipe,"Virus Sincicial Respiratorio",2
Sergipe,"Influenza A",1
Alagoas,"Coronavirus SARS-CoV2",2
"Mato Grosso","Coronavirus SARS-CoV2",2
"Paraíba","Coronavirus SARS-CoV2",1
Roraima,"Coronavirus SARS-CoV2",1
