"UF de residência","Vírus","Nº de vírus identificados"
"Ceará","Coronavirus SARS-CoV2",616
Pernambuco,"Coronavirus SARS-CoV2",566
"Rio de Janeiro","Coronavirus SARS-CoV2",553
"Amapá","Coronavirus SARS-CoV2",462
"São Paulo","Coronavirus SARS-CoV2",408
"Espírito Santo","Coronavirus SARS-CoV2",355
Bahia,"Coronavirus SARS-CoV2",341
Amazonas,"Coronavirus SARS-CoV2",304
Alagoas,"Coronavirus SARS-CoV2",300
Sergipe,"Coronavirus SARS-CoV2",290
Acre,"Coronavirus SARS-CoV2",215
"Pará","Coronavirus SARS-CoV2",207
"Paraíba","Coronavirus SARS-CoV2",194
"Maranhão","Coronavirus SARS-CoV2",160
"Rio Grande do Norte","Coronavirus SARS-CoV2",145
"Rondônia","Coronavirus SARS-CoV2",134
"Santa Catarina","Coronavirus SARS-CoV2",94
Roraima,"Coronavirus SARS-CoV2",92
Tocantins,"Coronavirus SARS-CoV2",73
"Piauí","Coronavirus SARS-CoV2",58
"Paraná","Coronavirus SARS-CoV2",57
"Minas Gerais","Coronavirus SARS-CoV2",47
"Rio Grande do Sul","Coronavirus SARS-CoV2",47
"Mato Grosso","Coronavirus SARS-CoV2",38
"Mato Grosso do Sul","Coronavirus SARS-CoV2",23
"Goiás","Coronavirus SARS-CoV2",18
"Distrito Federal","Coronavirus SARS-CoV2",1
