"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.811"
"São Paulo","Influenza B",1
"Paraná","Coronavirus SARS-CoV2","1.615"
"Paraná",Rinovirus,3
Bahia,"Coronavirus SARS-CoV2",901
Sergipe,"Coronavirus SARS-CoV2",756
"Espírito Santo","Coronavirus SARS-CoV2",633
"Mato Grosso","Coronavirus SARS-CoV2",592
"Santa Catarina","Coronavirus SARS-CoV2",434
"Rio Grande do Sul","Coronavirus SARS-CoV2",401
"Minas Gerais","Coronavirus SARS-CoV2",377
"Rondônia","Coronavirus SARS-CoV2",324
"Rio de Janeiro","Coronavirus SARS-CoV2",304
Pernambuco,"Coronavirus SARS-CoV2",302
"Piauí","Coronavirus SARS-CoV2",286
"Ceará","Coronavirus SARS-CoV2",251
"Rio Grande do Norte","Coronavirus SARS-CoV2",248
Roraima,"Coronavirus SARS-CoV2",209
"Mato Grosso do Sul","Coronavirus SARS-CoV2",200
"Mato Grosso do Sul","Virus Sincicial Respiratorio",1
Acre,"Coronavirus SARS-CoV2",189
"Goiás","Coronavirus SARS-CoV2",174
Tocantins,"Coronavirus SARS-CoV2",154
"Pará","Coronavirus SARS-CoV2",115
"Paraíba","Coronavirus SARS-CoV2",89
"Amapá","Coronavirus SARS-CoV2",74
"Maranhão","Coronavirus SARS-CoV2",66
Alagoas,"Coronavirus SARS-CoV2",53
Amazonas,"Coronavirus SARS-CoV2",35
Amazonas,"Virus Sincicial Respiratorio",1
"Distrito Federal","Coronavirus SARS-CoV2",2
