"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",223
"São Paulo","Influenza A",2
"Rio de Janeiro","Coronavirus SARS-CoV2",82
"Ceará","Coronavirus SARS-CoV2",75
Pernambuco,"Coronavirus SARS-CoV2",62
Pernambuco,"Influenza A",4
"Espírito Santo","Coronavirus SARS-CoV2",40
"Espírito Santo","Virus Sincicial Respiratorio",1
Bahia,"Coronavirus SARS-CoV2",27
Bahia,"Influenza A",2
Bahia,Rinovirus,1
"Maranhão","Coronavirus SARS-CoV2",24
"Amapá","Coronavirus SARS-CoV2",18
"Amapá","Influenza B",1
"Paraná","Coronavirus SARS-CoV2",15
"Paraná",Adenovirus,1
"Paraná",Rinovirus,1
"Paraná","Virus Sincicial Respiratorio",1
"Santa Catarina","Coronavirus SARS-CoV2",17
"Rio Grande do Norte","Coronavirus SARS-CoV2",8
"Rio Grande do Norte","Influenza B",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",8
"Paraíba","Coronavirus SARS-CoV2",7
"Piauí",Metapneumovirus,6
"Piauí","Influenza A",1
"Pará","Coronavirus SARS-CoV2",3
"Pará","Influenza B",2
"Pará","Influenza A",1
"Goiás","Coronavirus SARS-CoV2",3
"Goiás",Metapneumovirus,1
"Goiás","Virus Sincicial Respiratorio",1
"Mato Grosso do Sul",Adenovirus,1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",1
"Mato Grosso do Sul","Parainfluenza tipo 3",1
"Mato Grosso do Sul","Virus Sincicial Respiratorio",1
Acre,"Coronavirus SARS-CoV2",3
Sergipe,"Influenza A",2
Sergipe,"Influenza B",1
Alagoas,"Coronavirus SARS-CoV2",2
"Minas Gerais","Coronavirus SARS-CoV2",2
Roraima,"Coronavirus SARS-CoV2",1
