"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.136"
"Paraná","Coronavirus SARS-CoV2","1.776"
"Paraná",Rinovirus,3
Bahia,"Coronavirus SARS-CoV2",685
Bahia,Rinovirus,2
"Rio Grande do Sul","Coronavirus SARS-CoV2",494
"Rio de Janeiro","Coronavirus SARS-CoV2",442
Tocantins,"Coronavirus SARS-CoV2",391
"Santa Catarina","Coronavirus SARS-CoV2",365
"Mato Grosso do Sul","Coronavirus SARS-CoV2",358
"Ceará","Coronavirus SARS-CoV2",328
"Minas Gerais","Coronavirus SARS-CoV2",272
"Espírito Santo","Coronavirus SARS-CoV2",258
"Rondônia","Coronavirus SARS-CoV2",218
Pernambuco,"Coronavirus SARS-CoV2",216
Sergipe,"Coronavirus SARS-CoV2",136
"Rio Grande do Norte","Coronavirus SARS-CoV2",98
"Goiás","Coronavirus SARS-CoV2",94
"Piauí","Coronavirus SARS-CoV2",61
Amazonas,"Coronavirus SARS-CoV2",53
"Paraíba","Coronavirus SARS-CoV2",43
"Pará","Coronavirus SARS-CoV2",35
"Maranhão","Coronavirus SARS-CoV2",29
"Mato Grosso","Coronavirus SARS-CoV2",24
Acre,"Coronavirus SARS-CoV2",22
Alagoas,"Coronavirus SARS-CoV2",11
Roraima,"Coronavirus SARS-CoV2",5
"Amapá","Coronavirus SARS-CoV2",2
"Distrito Federal","Coronavirus SARS-CoV2",2
