"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.644"
"Paraná","Coronavirus SARS-CoV2","2.005"
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",936
Bahia,"Virus Sincicial Respiratorio",1
"Santa Catarina","Coronavirus SARS-CoV2",711
Sergipe,"Coronavirus SARS-CoV2",703
"Rio Grande do Sul","Coronavirus SARS-CoV2",480
"Espírito Santo","Coronavirus SARS-CoV2",452
"Espírito Santo","Virus Sincicial Respiratorio",1
Pernambuco,"Coronavirus SARS-CoV2",420
"Minas Gerais","Coronavirus SARS-CoV2",362
"Rio Grande do Norte","Coronavirus SARS-CoV2",325
"Rio de Janeiro","Coronavirus SARS-CoV2",305
"Ceará","Coronavirus SARS-CoV2",240
"Mato Grosso do Sul","Coronavirus SARS-CoV2",237
"Mato Grosso do Sul",Adenovirus,1
"Rondônia","Coronavirus SARS-CoV2",218
Tocantins,"Coronavirus SARS-CoV2",192
"Piauí","Coronavirus SARS-CoV2",131
"Pará","Coronavirus SARS-CoV2",124
"Goiás","Coronavirus SARS-CoV2",123
Acre,"Coronavirus SARS-CoV2",116
"Paraíba","Coronavirus SARS-CoV2",74
Alagoas,"Coronavirus SARS-CoV2",62
Roraima,"Coronavirus SARS-CoV2",50
"Maranhão","Coronavirus SARS-CoV2",44
Amazonas,"Coronavirus SARS-CoV2",42
"Amapá","Coronavirus SARS-CoV2",38
"Distrito Federal","Coronavirus SARS-CoV2",10
"Mato Grosso","Coronavirus SARS-CoV2",5
