"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.432"
"Paraná","Coronavirus SARS-CoV2","1.902"
"Paraná",Rinovirus,7
Bahia,"Coronavirus SARS-CoV2",808
"Rio Grande do Sul","Coronavirus SARS-CoV2",550
"Santa Catarina","Coronavirus SARS-CoV2",491
"Mato Grosso do Sul","Coronavirus SARS-CoV2",443
Tocantins,"Coronavirus SARS-CoV2",420
Pernambuco,"Coronavirus SARS-CoV2",401
"Minas Gerais","Coronavirus SARS-CoV2",364
"Ceará","Coronavirus SARS-CoV2",334
"Rio de Janeiro","Coronavirus SARS-CoV2",304
"Espírito Santo","Coronavirus SARS-CoV2",286
"Rondônia","Coronavirus SARS-CoV2",284
Sergipe,"Coronavirus SARS-CoV2",208
"Rio Grande do Norte","Coronavirus SARS-CoV2",193
"Piauí","Coronavirus SARS-CoV2",119
"Pará","Coronavirus SARS-CoV2",91
"Pará",Rinovirus,4
"Goiás","Coronavirus SARS-CoV2",93
Acre,"Coronavirus SARS-CoV2",46
"Mato Grosso","Coronavirus SARS-CoV2",42
Amazonas,"Coronavirus SARS-CoV2",35
"Maranhão","Coronavirus SARS-CoV2",33
"Paraíba","Coronavirus SARS-CoV2",32
Alagoas,"Coronavirus SARS-CoV2",17
Roraima,"Coronavirus SARS-CoV2",16
"Amapá","Coronavirus SARS-CoV2",8
"Distrito Federal","Coronavirus SARS-CoV2",3
