"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.401"
"Paraná","Coronavirus SARS-CoV2",791
"Paraná",Rinovirus,3
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",340
"Rio Grande do Sul","Coronavirus SARS-CoV2",309
"Rio Grande do Sul",Rinovirus,1
"Santa Catarina","Coronavirus SARS-CoV2",205
"Rondônia","Coronavirus SARS-CoV2",197
"Minas Gerais","Coronavirus SARS-CoV2",195
"Espírito Santo","Coronavirus SARS-CoV2",165
Tocantins,"Coronavirus SARS-CoV2",161
"Mato Grosso do Sul","Coronavirus SARS-CoV2",159
"Rio de Janeiro","Coronavirus SARS-CoV2",147
"Ceará","Coronavirus SARS-CoV2",112
Sergipe,"Coronavirus SARS-CoV2",109
Pernambuco,"Coronavirus SARS-CoV2",94
"Goiás","Coronavirus SARS-CoV2",78
"Pará","Coronavirus SARS-CoV2",55
"Piauí","Coronavirus SARS-CoV2",52
"Rio Grande do Norte","Coronavirus SARS-CoV2",33
"Paraíba","Coronavirus SARS-CoV2",14
"Maranhão","Coronavirus SARS-CoV2",8
Acre,"Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",5
Alagoas,"Coronavirus SARS-CoV2",4
Roraima,"Coronavirus SARS-CoV2",4
Amazonas,"Coronavirus SARS-CoV2",3
"Amapá","Coronavirus SARS-CoV2",1
"Mato Grosso","Coronavirus SARS-CoV2",1
