"UF de residência","Vírus","Nº de vírus identificados"
"Paraná","Influenza A",3
"Paraná","Influenza B",3
"Paraná",Rinovirus,3
"Paraná","Coronavirus 229E",1
"Minas Gerais","Influenza A",5
"Minas Gerais","Influenza B",1
"São Paulo","Influenza B",4
"São Paulo",Rinovirus,2
"Rio de Janeiro",Adenovirus,4
"Rio de Janeiro","Influenza B",1
"Ceará","Influenza B",3
"Ceará","Influenza A",1
"Paraíba","Influenza B",2
"Pará","Influenza A",2
Sergipe,"Influenza A",2
Acre,"Influenza B",1
Alagoas,"Influenza A",1
"Maranhão","Influenza A",1
Pernambuco,"Influenza B",1
"Rio Grande do Norte",Rinovirus,1
Tocantins,"Virus Sincicial Respiratorio A",1
