"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",143
"São Paulo","Influenza B",18
"São Paulo","Influenza A",9
"Paraná",Rinovirus,59
"Paraná","Coronavirus SARS-CoV2",18
"Paraná","Coronavirus NL63",10
"Paraná","Influenza A",10
"Paraná","Coronavirus HKU1",5
"Paraná","Influenza B",4
"Paraná","Parainfluenza tipo 1",3
"Paraná",Adenovirus,2
"Paraná","Coronavirus 229E",2
"Paraná",Metapneumovirus,2
"Paraná","Virus Sincicial Respiratorio",2
"Paraná",Bocavirus,1
Bahia,"Influenza A",51
Bahia,"Influenza B",15
Bahia,"Coronavirus SARS-CoV2",10
Bahia,"Virus Sincicial Respiratorio",1
"Minas Gerais","Influenza A",24
"Minas Gerais","Influenza B",14
"Minas Gerais","Coronavirus SARS-CoV2",9
"Minas Gerais",Adenovirus,1
"Santa Catarina","Coronavirus SARS-CoV2",25
"Santa Catarina","Influenza A",8
"Santa Catarina","Influenza B",2
"Santa Catarina","Virus Sincicial Respiratorio",2
"Santa Catarina",Rinovirus,1
Pernambuco,"Influenza A",12
Pernambuco,"Coronavirus SARS-CoV2",8
Pernambuco,"Influenza B",8
"Ceará","Coronavirus SARS-CoV2",17
"Ceará","Influenza A",7
"Ceará","Virus Sincicial Respiratorio",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",19
"Rio Grande do Sul",Rinovirus,1
"Maranhão",Rinovirus,8
"Maranhão","Influenza B",6
"Maranhão","Coronavirus SARS-CoV2",2
"Maranhão","Influenza A",1
"Maranhão","Virus Sincicial Respiratorio",1
"Piauí","Influenza A",6
"Piauí",Adenovirus,3
"Piauí","Parainfluenza tipo 1",3
"Piauí","Virus Sincicial Respiratorio",3
"Piauí",Metapneumovirus,2
"Piauí","Coronavirus SARS-CoV2",1
"Goiás",Metapneumovirus,6
"Goiás","Influenza A",4
"Goiás",Rinovirus,3
"Goiás","Coronavirus SARS-CoV2",2
"Goiás","Influenza B",2
Amazonas,Adenovirus,4
Amazonas,"Coronavirus SARS-CoV2",3
Amazonas,"Influenza A",3
Amazonas,"Parainfluenza tipo 3",3
Amazonas,"Virus Sincicial Respiratorio",1
"Rio Grande do Norte","Influenza A",8
"Rio Grande do Norte","Influenza B",5
"Rio Grande do Norte","Virus Sincicial Respiratorio",1
"Espírito Santo","Coronavirus SARS-CoV2",6
"Espírito Santo","Influenza B",4
"Espírito Santo","Influenza A",1
"Amapá",Rinovirus,6
"Amapá",Metapneumovirus,2
"Amapá","Influenza A",1
"Amapá","Influenza B",1
"Paraíba",Rinovirus,4
"Paraíba","Influenza A",2
"Paraíba","Coronavirus NL63",1
"Paraíba","Coronavirus SARS-CoV2",1
"Paraíba","Influenza B",1
"Paraíba","Parainfluenza tipo 2",1
Sergipe,"Influenza A",6
Sergipe,"Parainfluenza tipo 1",2
Sergipe,"Coronavirus SARS-CoV2",1
Sergipe,"Influenza B",1
"Pará","Influenza A",7
"Pará","Coronavirus SARS-CoV2",1
"Pará","Influenza B",1
"Rio de Janeiro","Coronavirus SARS-CoV2",8
"Rio de Janeiro","Influenza A",1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",2
"Mato Grosso do Sul","Virus Sincicial Respiratorio",2
"Mato Grosso do Sul","Influenza A",1
"Mato Grosso do Sul",Metapneumovirus,1
"Mato Grosso do Sul","Parainfluenza tipo 3",1
"Rondônia","Influenza B",3
"Rondônia","Coronavirus SARS-CoV2",1
Acre,"Influenza A",1
Acre,"Influenza B",1
Alagoas,"Coronavirus SARS-CoV2",1
Alagoas,"Influenza B",1
"Mato Grosso","Coronavirus SARS-CoV2",2
