"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","3.744"
"São Paulo","Virus Sincicial Respiratorio",1
"Paraná","Coronavirus SARS-CoV2","2.035"
"Paraná",Rinovirus,4
"Paraná",Metapneumovirus,1
Bahia,"Coronavirus SARS-CoV2","1.058"
"Santa Catarina","Coronavirus SARS-CoV2",935
"Rio Grande do Sul","Coronavirus SARS-CoV2",607
Pernambuco,"Coronavirus SARS-CoV2",575
"Minas Gerais","Coronavirus SARS-CoV2",543
Tocantins,"Coronavirus SARS-CoV2",459
"Rio de Janeiro","Coronavirus SARS-CoV2",435
"Ceará","Coronavirus SARS-CoV2",425
"Mato Grosso do Sul","Coronavirus SARS-CoV2",403
"Espírito Santo","Coronavirus SARS-CoV2",400
Sergipe,"Coronavirus SARS-CoV2",390
"Rondônia","Coronavirus SARS-CoV2",381
"Rio Grande do Norte","Coronavirus SARS-CoV2",368
"Goiás","Coronavirus SARS-CoV2",363
"Piauí","Coronavirus SARS-CoV2",194
Acre,"Coronavirus SARS-CoV2",131
"Pará","Coronavirus SARS-CoV2",124
"Paraíba","Coronavirus SARS-CoV2",85
Amazonas,"Coronavirus SARS-CoV2",64
Amazonas,"Virus Sincicial Respiratorio",1
Roraima,"Coronavirus SARS-CoV2",54
"Maranhão","Coronavirus SARS-CoV2",47
Alagoas,"Coronavirus SARS-CoV2",21
"Amapá","Coronavirus SARS-CoV2",17
"Mato Grosso","Coronavirus SARS-CoV2",8
"Distrito Federal","Coronavirus SARS-CoV2",2
