"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",180
Amazonas,"Coronavirus SARS-CoV2",174
Amazonas,"Coronavirus HKU1",1
"Rio de Janeiro","Coronavirus SARS-CoV2",149
Pernambuco,"Coronavirus SARS-CoV2",143
Pernambuco,"Influenza A",1
"Ceará","Coronavirus SARS-CoV2",109
"Espírito Santo","Coronavirus SARS-CoV2",57
"Espírito Santo","Virus Sincicial Respiratorio",1
"Pará","Coronavirus SARS-CoV2",51
"Pará","Influenza A",1
Bahia,"Coronavirus SARS-CoV2",49
"Maranhão","Coronavirus SARS-CoV2",44
"Paraná","Coronavirus SARS-CoV2",22
"Paraná",Adenovirus,1
"Paraná",Metapneumovirus,1
"Paraná",Rinovirus,1
"Santa Catarina","Coronavirus SARS-CoV2",24
"Amapá","Coronavirus SARS-CoV2",16
"Amapá","Influenza A",1
Roraima,"Virus Sincicial Respiratorio",8
Roraima,"Coronavirus SARS-CoV2",7
"Minas Gerais","Coronavirus SARS-CoV2",10
"Minas Gerais","Virus Sincicial Respiratorio",2
"Minas Gerais",Adenovirus,1
"Minas Gerais","Influenza A",1
"Paraíba","Coronavirus SARS-CoV2",12
"Rio Grande do Sul","Coronavirus SARS-CoV2",11
Alagoas,"Coronavirus SARS-CoV2",9
"Mato Grosso do Sul","Coronavirus SARS-CoV2",8
"Piauí",Metapneumovirus,6
"Piauí","Coronavirus SARS-CoV2",2
"Rondônia","Coronavirus SARS-CoV2",7
"Rondônia","Influenza B",1
Acre,"Coronavirus SARS-CoV2",5
"Rio Grande do Norte","Coronavirus SARS-CoV2",4
"Goiás","Coronavirus SARS-CoV2",1
"Goiás","Influenza A",1
"Goiás",Metapneumovirus,1
Sergipe,"Influenza B",1
