"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",545
"Paraná","Coronavirus SARS-CoV2",483
"Paraná",Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",194
Bahia,"Coronavirus SARS-CoV2",160
Bahia,Rinovirus,1
"Santa Catarina","Coronavirus SARS-CoV2",148
"Rio de Janeiro","Coronavirus SARS-CoV2",147
Sergipe,"Coronavirus SARS-CoV2",123
"Mato Grosso do Sul","Coronavirus SARS-CoV2",99
"Minas Gerais","Coronavirus SARS-CoV2",84
Pernambuco,"Coronavirus SARS-CoV2",76
Pernambuco,Rinovirus,1
"Pará","Coronavirus SARS-CoV2",55
"Ceará","Coronavirus SARS-CoV2",54
"Rondônia","Coronavirus SARS-CoV2",42
Tocantins,"Coronavirus SARS-CoV2",27
"Goiás","Coronavirus SARS-CoV2",25
"Rio Grande do Norte","Coronavirus SARS-CoV2",22
Acre,"Coronavirus SARS-CoV2",21
Amazonas,"Coronavirus SARS-CoV2",16
"Paraíba","Coronavirus SARS-CoV2",16
Roraima,"Coronavirus SARS-CoV2",13
Alagoas,"Coronavirus SARS-CoV2",3
"Maranhão","Coronavirus SARS-CoV2",3
"Amapá","Coronavirus SARS-CoV2",1
"Distrito Federal","Coronavirus SARS-CoV2",1
"Mato Grosso","Coronavirus SARS-CoV2",1
"Piauí","Coronavirus SARS-CoV2",1
