"UF de residência","Vírus","Nº de vírus identificados"
Pernambuco,"Coronavirus SARS-CoV2",559
"São Paulo","Coronavirus SARS-CoV2",518
"São Paulo",Adenovirus,1
"Ceará","Coronavirus SARS-CoV2",501
"Espírito Santo","Coronavirus SARS-CoV2",447
Bahia,"Coronavirus SARS-CoV2",443
"Rio de Janeiro","Coronavirus SARS-CoV2",399
"Rio de Janeiro","Influenza B",1
"Amapá","Coronavirus SARS-CoV2",398
Sergipe,"Coronavirus SARS-CoV2",350
Sergipe,"Virus Sincicial Respiratorio",1
Acre,"Coronavirus SARS-CoV2",302
Alagoas,"Coronavirus SARS-CoV2",214
"Pará","Coronavirus SARS-CoV2",211
Amazonas,"Coronavirus SARS-CoV2",184
"Rio Grande do Norte","Coronavirus SARS-CoV2",171
"Paraíba","Coronavirus SARS-CoV2",167
Roraima,"Coronavirus SARS-CoV2",166
"Maranhão","Coronavirus SARS-CoV2",146
Tocantins,"Coronavirus SARS-CoV2",130
"Santa Catarina","Coronavirus SARS-CoV2",128
"Paraná","Coronavirus SARS-CoV2",123
"Paraná","Virus Sincicial Respiratorio",1
"Piauí","Coronavirus SARS-CoV2",107
"Rondônia","Coronavirus SARS-CoV2",96
"Rio Grande do Sul","Coronavirus SARS-CoV2",71
"Minas Gerais","Coronavirus SARS-CoV2",58
"Minas Gerais",Bocavirus,1
"Mato Grosso","Coronavirus SARS-CoV2",58
"Mato Grosso do Sul","Coronavirus SARS-CoV2",50
"Goiás","Coronavirus SARS-CoV2",30
"Distrito Federal","Coronavirus SARS-CoV2",4
