"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.818"
"Paraná","Coronavirus SARS-CoV2","1.099"
"Paraná",Rinovirus,3
Bahia,"Coronavirus SARS-CoV2",991
Bahia,Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",554
"Ceará","Coronavirus SARS-CoV2",401
"Rio de Janeiro","Coronavirus SARS-CoV2",393
"Espírito Santo","Coronavirus SARS-CoV2",368
"Minas Gerais","Coronavirus SARS-CoV2",345
"Santa Catarina","Coronavirus SARS-CoV2",318
"Piauí","Coronavirus SARS-CoV2",256
"Mato Grosso do Sul","Coronavirus SARS-CoV2",233
Pernambuco,"Coronavirus SARS-CoV2",205
Pernambuco,"Virus Sincicial Respiratorio",1
"Goiás","Coronavirus SARS-CoV2",177
Sergipe,"Coronavirus SARS-CoV2",171
Tocantins,"Coronavirus SARS-CoV2",151
"Rio Grande do Norte","Coronavirus SARS-CoV2",137
"Rondônia","Coronavirus SARS-CoV2",107
"Paraíba","Coronavirus SARS-CoV2",60
"Pará","Coronavirus SARS-CoV2",55
"Mato Grosso","Coronavirus SARS-CoV2",44
Amazonas,"Coronavirus SARS-CoV2",42
Amazonas,"Virus Sincicial Respiratorio",1
Roraima,"Coronavirus SARS-CoV2",36
Acre,"Coronavirus SARS-CoV2",17
"Maranhão","Coronavirus SARS-CoV2",17
Alagoas,"Coronavirus SARS-CoV2",9
"Distrito Federal","Coronavirus SARS-CoV2",8
"Amapá","Coronavirus SARS-CoV2",1
