"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",840
Pernambuco,"Coronavirus SARS-CoV2",625
Pernambuco,"Influenza A",3
Pernambuco,"Influenza B",1
"São Paulo","Coronavirus SARS-CoV2",495
"Ceará","Coronavirus SARS-CoV2",465
"Pará","Coronavirus SARS-CoV2",261
"Pará","Influenza B",1
Amazonas,"Coronavirus SARS-CoV2",241
"Maranhão","Coronavirus SARS-CoV2",209
"Amapá","Coronavirus SARS-CoV2",177
Bahia,"Coronavirus SARS-CoV2",176
"Espírito Santo","Coronavirus SARS-CoV2",129
Alagoas,"Coronavirus SARS-CoV2",108
"Rondônia","Coronavirus SARS-CoV2",78
"Santa Catarina","Coronavirus SARS-CoV2",70
"Paraíba","Coronavirus SARS-CoV2",59
"Rio Grande do Norte","Coronavirus SARS-CoV2",52
Acre,"Coronavirus SARS-CoV2",51
"Rio Grande do Sul","Coronavirus SARS-CoV2",48
Sergipe,"Coronavirus SARS-CoV2",37
Sergipe,"Influenza B",2
"Minas Gerais","Coronavirus SARS-CoV2",32
"Paraná","Coronavirus SARS-CoV2",32
"Piauí","Coronavirus SARS-CoV2",29
"Goiás","Coronavirus SARS-CoV2",14
"Goiás","Influenza B",1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",9
Roraima,"Coronavirus SARS-CoV2",9
"Mato Grosso","Coronavirus SARS-CoV2",4
Tocantins,"Coronavirus SARS-CoV2",2
"Distrito Federal","Coronavirus SARS-CoV2",1
