"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",796
"Paraná","Coronavirus SARS-CoV2",680
"Paraná",Rinovirus,3
"Paraná",Adenovirus,1
"Rio de Janeiro","Coronavirus SARS-CoV2",218
"Rio Grande do Sul","Coronavirus SARS-CoV2",212
"Mato Grosso do Sul","Coronavirus SARS-CoV2",198
"Minas Gerais","Coronavirus SARS-CoV2",148
"Espírito Santo","Coronavirus SARS-CoV2",139
Bahia,"Coronavirus SARS-CoV2",135
Bahia,Rinovirus,3
"Piauí","Coronavirus SARS-CoV2",122
"Ceará","Coronavirus SARS-CoV2",109
"Santa Catarina","Coronavirus SARS-CoV2",101
Tocantins,"Coronavirus SARS-CoV2",90
"Rondônia","Coronavirus SARS-CoV2",70
"Goiás","Coronavirus SARS-CoV2",60
Pernambuco,"Coronavirus SARS-CoV2",55
Pernambuco,"Virus Sincicial Respiratorio",2
"Rio Grande do Norte","Coronavirus SARS-CoV2",40
Sergipe,"Coronavirus SARS-CoV2",30
Amazonas,"Coronavirus SARS-CoV2",27
"Paraíba","Coronavirus SARS-CoV2",19
Acre,"Coronavirus SARS-CoV2",14
"Pará","Coronavirus SARS-CoV2",10
"Maranhão","Coronavirus SARS-CoV2",7
Roraima,"Coronavirus SARS-CoV2",5
"Distrito Federal","Coronavirus SARS-CoV2",4
"Mato Grosso","Coronavirus SARS-CoV2",3
Alagoas,"Coronavirus SARS-CoV2",2
