"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.597"
"Paraná","Coronavirus SARS-CoV2",992
"Paraná",Rinovirus,8
Bahia,"Coronavirus SARS-CoV2",803
Bahia,Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",517
"Santa Catarina","Coronavirus SARS-CoV2",465
"Rio de Janeiro","Coronavirus SARS-CoV2",429
"Rio de Janeiro","Virus Sincicial Respiratorio",2
"Minas Gerais","Coronavirus SARS-CoV2",367
"Ceará","Coronavirus SARS-CoV2",355
Pernambuco,"Coronavirus SARS-CoV2",275
"Piauí","Coronavirus SARS-CoV2",258
Sergipe,"Coronavirus SARS-CoV2",228
"Mato Grosso do Sul","Coronavirus SARS-CoV2",195
"Espírito Santo","Coronavirus SARS-CoV2",189
Tocantins,"Coronavirus SARS-CoV2",144
"Goiás","Coronavirus SARS-CoV2",112
"Rondônia","Coronavirus SARS-CoV2",112
"Pará","Coronavirus SARS-CoV2",106
"Rio Grande do Norte","Coronavirus SARS-CoV2",104
Roraima,"Coronavirus SARS-CoV2",89
Amazonas,"Coronavirus SARS-CoV2",78
"Paraíba","Coronavirus SARS-CoV2",47
"Maranhão","Coronavirus SARS-CoV2",32
"Mato Grosso","Coronavirus SARS-CoV2",20
Alagoas,"Coronavirus SARS-CoV2",18
Acre,"Coronavirus SARS-CoV2",15
"Distrito Federal","Coronavirus SARS-CoV2",5
