"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2",463
"São Paulo","Influenza A",3
"São Paulo","Influenza B",2
"São Paulo",Metapneumovirus,1
"São Paulo","Virus Sincicial Respiratorio",1
"Rio de Janeiro","Coronavirus SARS-CoV2",136
"Ceará","Coronavirus SARS-CoV2",102
"Paraná","Coronavirus SARS-CoV2",41
"Paraná",Rinovirus,7
"Paraná","Virus Sincicial Respiratorio",4
"Paraná","Influenza A",1
"Paraná","Influenza B",1
"Paraná",Metapneumovirus,1
Bahia,"Coronavirus SARS-CoV2",33
Bahia,"Influenza A",4
Bahia,"Influenza B",2
Amazonas,"Coronavirus SARS-CoV2",36
"Rio Grande do Norte","Coronavirus SARS-CoV2",30
"Rio Grande do Norte","Influenza B",1
"Santa Catarina","Coronavirus SARS-CoV2",31
"Rio Grande do Sul","Coronavirus SARS-CoV2",28
"Piauí",Metapneumovirus,14
"Piauí","Influenza A",7
"Piauí",Adenovirus,2
"Piauí","Parainfluenza tipo 3",2
"Piauí","Coronavirus SARS-CoV2",1
"Piauí","Virus Sincicial Respiratorio",1
"Pará","Coronavirus SARS-CoV2",17
"Pará","Influenza A",6
"Pará","Influenza B",2
"Minas Gerais","Coronavirus SARS-CoV2",21
"Minas Gerais","Influenza B",1
"Espírito Santo","Coronavirus SARS-CoV2",16
"Espírito Santo","Influenza B",3
"Espírito Santo","Virus Sincicial Respiratorio",1
"Amapá","Coronavirus SARS-CoV2",18
"Goiás","Coronavirus SARS-CoV2",5
"Goiás",Metapneumovirus,5
"Goiás","Virus Sincicial Respiratorio",4
"Goiás",Adenovirus,1
"Goiás","Influenza A",1
"Goiás","Influenza B",1
"Goiás",Rinovirus,1
"Maranhão","Coronavirus SARS-CoV2",17
"Maranhão","Influenza B",1
Pernambuco,"Coronavirus SARS-CoV2",13
Pernambuco,"Influenza A",3
Pernambuco,"Influenza B",1
Roraima,"Coronavirus SARS-CoV2",9
Roraima,"Influenza B",1
Roraima,"Virus Sincicial Respiratorio",1
"Mato Grosso do Sul","Influenza A",4
"Mato Grosso do Sul","Coronavirus SARS-CoV2",2
"Mato Grosso do Sul","Parainfluenza tipo 3",1
"Mato Grosso do Sul","Virus Sincicial Respiratorio",1
"Mato Grosso","Coronavirus SARS-CoV2",7
Alagoas,"Coronavirus SARS-CoV2",3
Sergipe,"Influenza A",2
Sergipe,"Coronavirus SARS-CoV2",1
"Paraíba","Coronavirus SARS-CoV2",2
"Rondônia","Coronavirus SARS-CoV2",1
"Rondônia","Influenza B",1
Tocantins,"Coronavirus SARS-CoV2",2
