"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.078"
"Paraná","Coronavirus SARS-CoV2","1.585"
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",872
Bahia,Rinovirus,3
"Rio de Janeiro","Coronavirus SARS-CoV2",505
"Rio Grande do Sul","Coronavirus SARS-CoV2",446
"Ceará","Coronavirus SARS-CoV2",408
"Minas Gerais","Coronavirus SARS-CoV2",389
"Mato Grosso do Sul","Coronavirus SARS-CoV2",355
"Espírito Santo","Coronavirus SARS-CoV2",337
"Santa Catarina","Coronavirus SARS-CoV2",255
Tocantins,"Coronavirus SARS-CoV2",247
Pernambuco,"Coronavirus SARS-CoV2",238
"Piauí","Coronavirus SARS-CoV2",200
"Rondônia","Coronavirus SARS-CoV2",198
"Goiás","Coronavirus SARS-CoV2",170
"Rio Grande do Norte","Coronavirus SARS-CoV2",143
Sergipe,"Coronavirus SARS-CoV2",115
Amazonas,"Coronavirus SARS-CoV2",69
"Mato Grosso","Coronavirus SARS-CoV2",56
"Pará","Coronavirus SARS-CoV2",56
"Paraíba","Coronavirus SARS-CoV2",52
Roraima,"Coronavirus SARS-CoV2",36
"Maranhão","Coronavirus SARS-CoV2",23
Acre,"Coronavirus SARS-CoV2",20
Alagoas,"Coronavirus SARS-CoV2",5
"Distrito Federal","Coronavirus SARS-CoV2",3
