"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.231"
"Paraná","Coronavirus SARS-CoV2",845
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",723
Bahia,Rinovirus,1
"Santa Catarina","Coronavirus SARS-CoV2",473
"Rio Grande do Sul","Coronavirus SARS-CoV2",428
"Rio de Janeiro","Coronavirus SARS-CoV2",344
"Ceará","Coronavirus SARS-CoV2",309
Sergipe,"Coronavirus SARS-CoV2",285
"Minas Gerais","Coronavirus SARS-CoV2",250
Pernambuco,"Coronavirus SARS-CoV2",244
"Mato Grosso do Sul","Coronavirus SARS-CoV2",136
"Rondônia","Coronavirus SARS-CoV2",99
Tocantins,"Coronavirus SARS-CoV2",89
"Pará","Coronavirus SARS-CoV2",79
"Rio Grande do Norte","Coronavirus SARS-CoV2",66
Amazonas,"Coronavirus SARS-CoV2",65
Roraima,"Coronavirus SARS-CoV2",62
"Goiás","Coronavirus SARS-CoV2",61
"Paraíba","Coronavirus SARS-CoV2",34
"Mato Grosso","Coronavirus SARS-CoV2",30
Acre,"Coronavirus SARS-CoV2",19
"Maranhão","Coronavirus SARS-CoV2",14
Alagoas,"Coronavirus SARS-CoV2",6
"Distrito Federal","Coronavirus SARS-CoV2",3
"Espírito Santo","Coronavirus SARS-CoV2",3
"Amapá","Coronavirus SARS-CoV2",1
"Piauí","Coronavirus SARS-CoV2",1
