"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",760
Pernambuco,"Coronavirus SARS-CoV2",710
"Ceará","Coronavirus SARS-CoV2",699
"São Paulo","Coronavirus SARS-CoV2",489
"Amapá","Coronavirus SARS-CoV2",306
"Pará","Coronavirus SARS-CoV2",294
Alagoas,"Coronavirus SARS-CoV2",231
"Maranhão","Coronavirus SARS-CoV2",220
Amazonas,"Coronavirus SARS-CoV2",195
"Espírito Santo","Coronavirus SARS-CoV2",175
Bahia,"Coronavirus SARS-CoV2",172
"Santa Catarina","Coronavirus SARS-CoV2",96
Sergipe,"Coronavirus SARS-CoV2",81
Sergipe,"Influenza B",1
"Rio Grande do Norte","Coronavirus SARS-CoV2",70
"Paraíba","Coronavirus SARS-CoV2",60
Roraima,"Coronavirus SARS-CoV2",57
Roraima,"Influenza A",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",55
Acre,"Coronavirus SARS-CoV2",48
"Piauí","Coronavirus SARS-CoV2",45
"Paraná","Coronavirus SARS-CoV2",38
"Rondônia","Coronavirus SARS-CoV2",35
"Minas Gerais","Coronavirus SARS-CoV2",21
"Minas Gerais","Influenza A",1
"Minas Gerais","Virus Sincicial Respiratorio",1
"Goiás","Coronavirus SARS-CoV2",15
"Mato Grosso","Coronavirus SARS-CoV2",9
"Mato Grosso do Sul","Coronavirus SARS-CoV2",7
"Mato Grosso do Sul",Adenovirus,1
Tocantins,"Coronavirus SARS-CoV2",5
Tocantins,"Influenza B",1
"Distrito Federal","Coronavirus SARS-CoV2",2
