"UF de residência","Vírus","Nº de vírus identificados"
"Ceará","Influenza B",7
"Ceará","Influenza A",2
"Paraíba",Bocavirus,4
"Paraíba","Influenza B",1
"São Paulo","Influenza B",3
"São Paulo","Influenza A",1
"São Paulo",Rinovirus,1
"Minas Gerais","Influenza A",2
"Minas Gerais","Influenza B",1
"Paraná",Rinovirus,2
"Paraná","Coronavirus OC43",1
"Mato Grosso do Sul",Adenovirus,1
"Mato Grosso do Sul","Virus Sincicial Respiratorio",1
"Santa Catarina","Virus Sincicial Respiratorio",2
Sergipe,"Influenza A",2
Amazonas,Adenovirus,1
Bahia,Adenovirus,1
"Goiás",Metapneumovirus,1
"Maranhão","Influenza A",1
"Pará","Influenza A",1
"Rio de Janeiro","Parainfluenza tipo 3",1
