"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.217"
"Paraná","Coronavirus SARS-CoV2","1.246"
"Paraná",Rinovirus,6
Bahia,"Coronavirus SARS-CoV2","1.006"
Bahia,Rinovirus,2
"Rio Grande do Sul","Coronavirus SARS-CoV2",682
"Rio de Janeiro","Coronavirus SARS-CoV2",491
"Rio de Janeiro","Virus Sincicial Respiratorio",2
"Santa Catarina","Coronavirus SARS-CoV2",450
"Ceará","Coronavirus SARS-CoV2",420
"Espírito Santo","Coronavirus SARS-CoV2",414
"Minas Gerais","Coronavirus SARS-CoV2",410
Pernambuco,"Coronavirus SARS-CoV2",295
Pernambuco,"Virus Sincicial Respiratorio",1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",257
"Piauí","Coronavirus SARS-CoV2",256
"Goiás","Coronavirus SARS-CoV2",227
Sergipe,"Coronavirus SARS-CoV2",221
"Rio Grande do Norte","Coronavirus SARS-CoV2",127
"Rondônia","Coronavirus SARS-CoV2",121
"Pará","Coronavirus SARS-CoV2",81
Tocantins,"Coronavirus SARS-CoV2",65
Amazonas,"Coronavirus SARS-CoV2",64
"Mato Grosso","Coronavirus SARS-CoV2",54
"Paraíba","Coronavirus SARS-CoV2",47
Roraima,"Coronavirus SARS-CoV2",28
Acre,"Coronavirus SARS-CoV2",26
"Maranhão","Coronavirus SARS-CoV2",22
Alagoas,"Coronavirus SARS-CoV2",18
"Distrito Federal","Coronavirus SARS-CoV2",7
