"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.149"
"Paraná","Coronavirus SARS-CoV2",746
"Paraná",Rinovirus,2
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",392
Tocantins,"Coronavirus SARS-CoV2",220
"Rio Grande do Sul","Coronavirus SARS-CoV2",216
"Mato Grosso do Sul","Coronavirus SARS-CoV2",208
"Minas Gerais","Coronavirus SARS-CoV2",174
"Santa Catarina","Coronavirus SARS-CoV2",161
"Espírito Santo","Coronavirus SARS-CoV2",144
"Rio de Janeiro","Coronavirus SARS-CoV2",136
"Rondônia","Coronavirus SARS-CoV2",134
"Ceará","Coronavirus SARS-CoV2",97
Sergipe,"Coronavirus SARS-CoV2",84
Pernambuco,"Coronavirus SARS-CoV2",65
"Goiás","Coronavirus SARS-CoV2",60
"Piauí","Coronavirus SARS-CoV2",57
"Rio Grande do Norte","Coronavirus SARS-CoV2",40
"Pará","Coronavirus SARS-CoV2",38
"Pará",Rinovirus,1
Alagoas,"Coronavirus SARS-CoV2",18
"Paraíba","Coronavirus SARS-CoV2",10
"Maranhão","Coronavirus SARS-CoV2",9
Acre,"Coronavirus SARS-CoV2",7
"Amapá","Coronavirus SARS-CoV2",7
Roraima,"Coronavirus SARS-CoV2",4
"Distrito Federal","Coronavirus SARS-CoV2",3
"Mato Grosso","Coronavirus SARS-CoV2",1
