"UF de residência","Vírus","Nº de vírus identificados"
"Paraná","Influenza B",2
"Paraná","Virus Sincicial Respiratorio",2
"Paraná",Adenovirus,1
"Paraná","Coronavirus 229E",1
"Paraná",Metapneumovirus,1
"Paraná","Parainfluenza tipo 1",1
"Paraná","Parainfluenza tipo 3",1
"São Paulo","Influenza A",5
"São Paulo","Influenza B",2
"São Paulo","Virus Sincicial Respiratorio",1
"Ceará","Influenza B",7
"Rio de Janeiro","Influenza B",4
"Rio de Janeiro",Adenovirus,1
"Rio de Janeiro","Influenza A",1
"Goiás",Adenovirus,1
"Goiás","Influenza B",1
"Goiás","Parainfluenza tipo 3",1
"Minas Gerais","Influenza A",3
Bahia,"Influenza A",1
Bahia,"Influenza B",1
"Santa Catarina","Influenza B",2
Acre,"Influenza B",1
"Espírito Santo","Influenza A",1
"Mato Grosso do Sul",Metapneumovirus,1
"Pará","Influenza A",1
Pernambuco,"Influenza A",1
"Piauí","Parainfluenza tipo 3",1
"Rio Grande do Sul",Metapneumovirus,1
