"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",770
Pernambuco,"Coronavirus SARS-CoV2",656
"Ceará","Coronavirus SARS-CoV2",570
"São Paulo","Coronavirus SARS-CoV2",480
"Amapá","Coronavirus SARS-CoV2",470
Bahia,"Coronavirus SARS-CoV2",301
Bahia,"Influenza A",1
"Espírito Santo","Coronavirus SARS-CoV2",284
"Pará","Coronavirus SARS-CoV2",279
Sergipe,"Coronavirus SARS-CoV2",246
Sergipe,"Influenza A",1
Sergipe,"Influenza B",1
"Maranhão","Coronavirus SARS-CoV2",221
Alagoas,"Coronavirus SARS-CoV2",220
Amazonas,"Coronavirus SARS-CoV2",168
Roraima,"Coronavirus SARS-CoV2",149
"Paraíba","Coronavirus SARS-CoV2",136
"Rondônia","Coronavirus SARS-CoV2",116
Acre,"Coronavirus SARS-CoV2",105
"Rio Grande do Norte","Coronavirus SARS-CoV2",98
"Santa Catarina","Coronavirus SARS-CoV2",87
Tocantins,"Coronavirus SARS-CoV2",63
"Rio Grande do Sul","Coronavirus SARS-CoV2",50
"Piauí","Coronavirus SARS-CoV2",46
"Minas Gerais","Coronavirus SARS-CoV2",43
"Paraná","Coronavirus SARS-CoV2",36
"Goiás","Coronavirus SARS-CoV2",28
"Mato Grosso","Coronavirus SARS-CoV2",15
"Mato Grosso do Sul","Coronavirus SARS-CoV2",7
"Distrito Federal","Coronavirus SARS-CoV2",1
