"UF de residência","Vírus","Nº de vírus identificados"
Pernambuco,"Coronavirus SARS-CoV2",733
"Rio de Janeiro","Coronavirus SARS-CoV2",629
"Ceará","Coronavirus SARS-CoV2",576
"São Paulo","Coronavirus SARS-CoV2",542
Bahia,"Coronavirus SARS-CoV2",525
"Espírito Santo","Coronavirus SARS-CoV2",469
"Espírito Santo","Virus Sincicial Respiratorio",1
"Amapá","Coronavirus SARS-CoV2",426
Sergipe,"Coronavirus SARS-CoV2",419
Acre,"Coronavirus SARS-CoV2",238
Amazonas,"Coronavirus SARS-CoV2",208
Alagoas,"Coronavirus SARS-CoV2",195
"Paraíba","Coronavirus SARS-CoV2",186
"Maranhão","Coronavirus SARS-CoV2",176
"Rio Grande do Norte","Coronavirus SARS-CoV2",168
Tocantins,"Coronavirus SARS-CoV2",168
"Pará","Coronavirus SARS-CoV2",162
"Rondônia","Coronavirus SARS-CoV2",154
Roraima,"Coronavirus SARS-CoV2",150
"Piauí","Coronavirus SARS-CoV2",141
"Santa Catarina","Coronavirus SARS-CoV2",141
"Paraná","Coronavirus SARS-CoV2",118
"Paraná",Adenovirus,1
"Paraná",Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",84
"Minas Gerais","Coronavirus SARS-CoV2",80
"Mato Grosso do Sul","Coronavirus SARS-CoV2",45
"Mato Grosso","Coronavirus SARS-CoV2",42
"Goiás","Coronavirus SARS-CoV2",29
"Distrito Federal","Coronavirus SARS-CoV2",2
