"UF de residência","Vírus","Nº de vírus identificados"
"Paraná",Rinovirus,3
"Paraná","Influenza A",2
"Paraná","Influenza B",2
"Paraná","Coronavirus 229E",1
"Paraná",Enterovirus,1
"Paraná","Parainfluenza tipo 3",1
"Rio de Janeiro",Metapneumovirus,3
"Ceará","Influenza B",1
"Ceará","Virus Sincicial Respiratorio",1
"São Paulo","Influenza A",1
"São Paulo","Influenza B",1
Tocantins,"Influenza A",2
"Espírito Santo","Virus Sincicial Respiratorio",1
"Maranhão","Influenza A",1
Pernambuco,"Coronavirus SARS-CoV2",1
"Rio Grande do Norte","Influenza B",1
"Rio Grande do Sul","Influenza A",1
