"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Influenza B",8
"São Paulo","Influenza A",2
"Ceará","Influenza B",3
"Ceará","Influenza A",1
"Ceará","Virus Sincicial Respiratorio",1
"Rio de Janeiro","Influenza A",5
"Paraná",Rinovirus,2
"Paraná","Coronavirus SARS-CoV2",1
"Paraná","Parainfluenza tipo 1",1
Sergipe,"Influenza B",4
Bahia,"Influenza A",3
Amazonas,Adenovirus,1
Amazonas,"Parainfluenza tipo 1",1
"Goiás",Adenovirus,1
"Goiás",Rinovirus,1
Pernambuco,"Influenza B",2
Tocantins,"Influenza A",2
"Espírito Santo","Influenza B",1
"Maranhão","Influenza A",1
"Minas Gerais","Influenza A",1
"Pará","Influenza A",1
"Piauí","Parainfluenza tipo 3",1
"Rio Grande do Norte","Influenza B",1
