"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.356"
"Paraná","Coronavirus SARS-CoV2","1.859"
"Paraná",Rinovirus,3
"Paraná",Adenovirus,1
Bahia,"Coronavirus SARS-CoV2",895
Bahia,Rinovirus,2
Bahia,"Virus Sincicial Respiratorio",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",666
"Mato Grosso do Sul","Coronavirus SARS-CoV2",493
"Minas Gerais","Coronavirus SARS-CoV2",468
Tocantins,"Coronavirus SARS-CoV2",406
"Santa Catarina","Coronavirus SARS-CoV2",400
"Rio de Janeiro","Coronavirus SARS-CoV2",383
"Ceará","Coronavirus SARS-CoV2",317
"Goiás","Coronavirus SARS-CoV2",288
Pernambuco,"Coronavirus SARS-CoV2",277
Pernambuco,"Virus Sincicial Respiratorio",1
"Espírito Santo","Coronavirus SARS-CoV2",247
"Rondônia","Coronavirus SARS-CoV2",245
"Rio Grande do Norte","Coronavirus SARS-CoV2",212
"Piauí","Coronavirus SARS-CoV2",186
Sergipe,"Coronavirus SARS-CoV2",104
"Pará","Coronavirus SARS-CoV2",48
Acre,"Coronavirus SARS-CoV2",47
"Paraíba","Coronavirus SARS-CoV2",46
Amazonas,"Coronavirus SARS-CoV2",35
"Maranhão","Coronavirus SARS-CoV2",30
"Mato Grosso","Coronavirus SARS-CoV2",17
"Distrito Federal","Coronavirus SARS-CoV2",15
Roraima,"Coronavirus SARS-CoV2",10
Alagoas,"Coronavirus SARS-CoV2",9
"Amapá","Coronavirus SARS-CoV2",1
