"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.579"
"Paraná","Coronavirus SARS-CoV2","1.021"
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",664
Bahia,Rinovirus,2
"Rio Grande do Sul","Coronavirus SARS-CoV2",419
"Espírito Santo","Coronavirus SARS-CoV2",389
"Santa Catarina","Coronavirus SARS-CoV2",373
"Rio de Janeiro","Coronavirus SARS-CoV2",325
"Ceará","Coronavirus SARS-CoV2",320
"Minas Gerais","Coronavirus SARS-CoV2",240
Pernambuco,"Coronavirus SARS-CoV2",226
"Piauí","Coronavirus SARS-CoV2",206
Sergipe,"Coronavirus SARS-CoV2",197
"Mato Grosso do Sul","Coronavirus SARS-CoV2",188
Tocantins,"Coronavirus SARS-CoV2",113
"Rondônia","Coronavirus SARS-CoV2",88
"Rio Grande do Norte","Coronavirus SARS-CoV2",76
"Goiás","Coronavirus SARS-CoV2",67
"Pará","Coronavirus SARS-CoV2",61
Amazonas,"Coronavirus SARS-CoV2",60
Roraima,"Coronavirus SARS-CoV2",36
"Mato Grosso","Coronavirus SARS-CoV2",35
"Paraíba","Coronavirus SARS-CoV2",29
Acre,"Coronavirus SARS-CoV2",12
Alagoas,"Coronavirus SARS-CoV2",11
"Maranhão","Coronavirus SARS-CoV2",10
"Distrito Federal","Coronavirus SARS-CoV2",7
