"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.763"
"Paraná","Coronavirus SARS-CoV2","1.529"
"Paraná",Rinovirus,2
Bahia,"Coronavirus SARS-CoV2",915
"Santa Catarina","Coronavirus SARS-CoV2",602
Pernambuco,"Coronavirus SARS-CoV2",547
"Rio Grande do Sul","Coronavirus SARS-CoV2",527
Tocantins,"Coronavirus SARS-CoV2",505
"Minas Gerais","Coronavirus SARS-CoV2",377
"Rondônia","Coronavirus SARS-CoV2",371
"Mato Grosso do Sul","Coronavirus SARS-CoV2",320
"Ceará","Coronavirus SARS-CoV2",314
"Rio Grande do Norte","Coronavirus SARS-CoV2",312
"Rio de Janeiro","Coronavirus SARS-CoV2",302
"Espírito Santo","Coronavirus SARS-CoV2",291
Sergipe,"Coronavirus SARS-CoV2",243
"Goiás","Coronavirus SARS-CoV2",187
"Piauí","Coronavirus SARS-CoV2",112
"Paraíba","Coronavirus SARS-CoV2",78
"Pará","Coronavirus SARS-CoV2",75
"Pará",Rinovirus,1
Amazonas,"Coronavirus SARS-CoV2",61
"Maranhão","Coronavirus SARS-CoV2",41
Acre,"Coronavirus SARS-CoV2",40
Roraima,"Coronavirus SARS-CoV2",26
"Amapá","Coronavirus SARS-CoV2",20
Alagoas,"Coronavirus SARS-CoV2",15
"Mato Grosso","Coronavirus SARS-CoV2",8
