"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.703"
"Paraná","Coronavirus SARS-CoV2","1.774"
"Paraná",Rinovirus,5
Bahia,"Coronavirus SARS-CoV2","1.027"
"Rio Grande do Sul","Coronavirus SARS-CoV2",697
"Santa Catarina","Coronavirus SARS-CoV2",611
Tocantins,"Coronavirus SARS-CoV2",554
Pernambuco,"Coronavirus SARS-CoV2",499
"Rondônia","Coronavirus SARS-CoV2",420
"Ceará","Coronavirus SARS-CoV2",393
"Mato Grosso do Sul","Coronavirus SARS-CoV2",386
"Espírito Santo","Coronavirus SARS-CoV2",361
"Minas Gerais","Coronavirus SARS-CoV2",352
"Goiás","Coronavirus SARS-CoV2",306
"Rio de Janeiro","Coronavirus SARS-CoV2",302
Sergipe,"Coronavirus SARS-CoV2",263
"Rio Grande do Norte","Coronavirus SARS-CoV2",235
"Piauí","Coronavirus SARS-CoV2",96
"Pará","Coronavirus SARS-CoV2",65
Acre,"Coronavirus SARS-CoV2",64
Amazonas,"Coronavirus SARS-CoV2",30
"Maranhão","Coronavirus SARS-CoV2",29
"Paraíba","Coronavirus SARS-CoV2",24
Roraima,"Coronavirus SARS-CoV2",13
"Amapá","Coronavirus SARS-CoV2",12
"Mato Grosso","Coronavirus SARS-CoV2",6
Alagoas,"Coronavirus SARS-CoV2",5
"Distrito Federal","Coronavirus SARS-CoV2",4
