"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.756"
"São Paulo","Influenza A",1
"Paraná","Coronavirus SARS-CoV2","1.436"
Bahia,"Coronavirus SARS-CoV2",746
Sergipe,"Coronavirus SARS-CoV2",629
"Espírito Santo","Coronavirus SARS-CoV2",509
"Mato Grosso","Coronavirus SARS-CoV2",498
Pernambuco,"Coronavirus SARS-CoV2",359
"Rio Grande do Sul","Coronavirus SARS-CoV2",357
"Minas Gerais","Coronavirus SARS-CoV2",349
"Santa Catarina","Coronavirus SARS-CoV2",342
"Rio Grande do Norte","Coronavirus SARS-CoV2",275
"Rondônia","Coronavirus SARS-CoV2",255
"Rondônia","Influenza A",1
"Rio de Janeiro","Coronavirus SARS-CoV2",220
"Ceará","Coronavirus SARS-CoV2",209
Roraima,"Coronavirus SARS-CoV2",184
"Goiás","Coronavirus SARS-CoV2",168
Tocantins,"Coronavirus SARS-CoV2",140
"Piauí","Coronavirus SARS-CoV2",134
Acre,"Coronavirus SARS-CoV2",120
"Mato Grosso do Sul","Coronavirus SARS-CoV2",115
"Pará","Coronavirus SARS-CoV2",109
Alagoas,"Coronavirus SARS-CoV2",102
"Paraíba","Coronavirus SARS-CoV2",85
Amazonas,"Coronavirus SARS-CoV2",77
"Amapá","Coronavirus SARS-CoV2",39
"Maranhão","Coronavirus SARS-CoV2",39
"Distrito Federal","Coronavirus SARS-CoV2",2
