"UF de residência","Vírus","Nº de vírus identificados"
Bahia,"Coronavirus SARS-CoV2",579
Bahia,"Virus Sincicial Respiratorio",1
"São Paulo","Coronavirus SARS-CoV2",552
"Espírito Santo","Coronavirus SARS-CoV2",441
Sergipe,"Coronavirus SARS-CoV2",425
Pernambuco,"Coronavirus SARS-CoV2",388
Pernambuco,"Virus Sincicial Respiratorio",1
"Rio de Janeiro","Coronavirus SARS-CoV2",309
"Ceará","Coronavirus SARS-CoV2",294
"Paraná","Coronavirus SARS-CoV2",261
"Amapá","Coronavirus SARS-CoV2",233
"Rio Grande do Norte","Coronavirus SARS-CoV2",203
Tocantins,"Coronavirus SARS-CoV2",180
"Santa Catarina","Coronavirus SARS-CoV2",171
"Piauí","Coronavirus SARS-CoV2",170
"Pará","Coronavirus SARS-CoV2",161
"Rondônia","Coronavirus SARS-CoV2",157
Alagoas,"Coronavirus SARS-CoV2",134
"Mato Grosso","Coronavirus SARS-CoV2",127
"Maranhão","Coronavirus SARS-CoV2",122
Roraima,"Coronavirus SARS-CoV2",119
"Paraíba","Coronavirus SARS-CoV2",113
"Minas Gerais","Coronavirus SARS-CoV2",92
Acre,"Coronavirus SARS-CoV2",87
"Rio Grande do Sul","Coronavirus SARS-CoV2",86
"Mato Grosso do Sul","Coronavirus SARS-CoV2",83
"Mato Grosso do Sul",Adenovirus,1
Amazonas,"Coronavirus SARS-CoV2",77
"Goiás","Coronavirus SARS-CoV2",26
