"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",807
Pernambuco,"Coronavirus SARS-CoV2",656
"São Paulo","Coronavirus SARS-CoV2",559
"Ceará","Coronavirus SARS-CoV2",542
"Pará","Coronavirus SARS-CoV2",322
"Amapá","Coronavirus SARS-CoV2",240
Alagoas,"Coronavirus SARS-CoV2",219
Amazonas,"Coronavirus SARS-CoV2",191
Bahia,"Coronavirus SARS-CoV2",187
Bahia,"Virus Sincicial Respiratorio",1
"Maranhão","Coronavirus SARS-CoV2",180
"Espírito Santo","Coronavirus SARS-CoV2",169
Sergipe,"Coronavirus SARS-CoV2",107
Sergipe,"Influenza B",3
"Santa Catarina","Coronavirus SARS-CoV2",87
"Paraíba","Coronavirus SARS-CoV2",79
"Rondônia","Coronavirus SARS-CoV2",71
"Rio Grande do Sul","Coronavirus SARS-CoV2",62
Roraima,"Coronavirus SARS-CoV2",54
Roraima,"Influenza A",1
Roraima,"Virus Sincicial Respiratorio",1
"Rio Grande do Norte","Coronavirus SARS-CoV2",52
Acre,"Coronavirus SARS-CoV2",47
"Piauí","Coronavirus SARS-CoV2",45
"Minas Gerais","Coronavirus SARS-CoV2",34
"Paraná","Coronavirus SARS-CoV2",30
"Goiás","Coronavirus SARS-CoV2",25
Tocantins,"Coronavirus SARS-CoV2",8
Tocantins,"Influenza B",1
"Mato Grosso do Sul","Coronavirus SARS-CoV2",4
"Mato Grosso","Coronavirus SARS-CoV2",3
"Distrito Federal","Coronavirus SARS-CoV2",1
