"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.187"
"Paraná","Coronavirus SARS-CoV2","1.164"
"Paraná",Rinovirus,6
Bahia,"Coronavirus SARS-CoV2",970
"Rio Grande do Sul","Coronavirus SARS-CoV2",746
"Santa Catarina","Coronavirus SARS-CoV2",596
"Rio de Janeiro","Coronavirus SARS-CoV2",488
"Ceará","Coronavirus SARS-CoV2",472
"Minas Gerais","Coronavirus SARS-CoV2",388
Sergipe,"Coronavirus SARS-CoV2",387
Pernambuco,"Coronavirus SARS-CoV2",305
"Mato Grosso do Sul","Coronavirus SARS-CoV2",223
"Goiás","Coronavirus SARS-CoV2",187
"Pará","Coronavirus SARS-CoV2",136
"Rio Grande do Norte","Coronavirus SARS-CoV2",134
Tocantins,"Coronavirus SARS-CoV2",118
"Rondônia","Coronavirus SARS-CoV2",99
Amazonas,"Coronavirus SARS-CoV2",94
Roraima,"Coronavirus SARS-CoV2",88
"Paraíba","Coronavirus SARS-CoV2",81
"Mato Grosso","Coronavirus SARS-CoV2",61
Acre,"Coronavirus SARS-CoV2",30
"Maranhão","Coronavirus SARS-CoV2",18
Alagoas,"Coronavirus SARS-CoV2",15
"Distrito Federal","Coronavirus SARS-CoV2",9
"Amapá","Coronavirus SARS-CoV2",1
"Piauí","Coronavirus SARS-CoV2",1
