"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro",Adenovirus,4
"Rio de Janeiro","Influenza B",3
"Rio de Janeiro",Metapneumovirus,1
"Paraná",Metapneumovirus,2
"Paraná","Parainfluenza tipo 3",2
"Paraná",Adenovirus,1
"Paraná","Influenza B",1
"Paraná",Rinovirus,1
"São Paulo","Influenza A",4
"São Paulo","Influenza B",2
"São Paulo","Virus Sincicial Respiratorio",1
Amazonas,"Influenza B",3
Amazonas,Adenovirus,2
"Mato Grosso do Sul","Influenza B",2
"Mato Grosso do Sul","Virus Sincicial Respiratorio",2
"Mato Grosso do Sul","Parainfluenza tipo 3",1
"Minas Gerais","Influenza A",1
"Minas Gerais",Metapneumovirus,1
"Minas Gerais","Parainfluenza tipo 1",1
"Minas Gerais","Virus Sincicial Respiratorio",1
"Ceará","Influenza A",2
"Santa Catarina","Influenza B",2
Acre,"Influenza B",1
Sergipe,Adenovirus,1
Tocantins,"Influenza A",1
