"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.591"
"Paraná","Coronavirus SARS-CoV2","1.903"
"Paraná",Adenovirus,1
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",829
Bahia,"Virus Sincicial Respiratorio",1
Sergipe,"Coronavirus SARS-CoV2",692
"Espírito Santo","Coronavirus SARS-CoV2",492
"Minas Gerais","Coronavirus SARS-CoV2",473
"Santa Catarina","Coronavirus SARS-CoV2",467
"Rio Grande do Sul","Coronavirus SARS-CoV2",378
Pernambuco,"Coronavirus SARS-CoV2",376
"Rio Grande do Norte","Coronavirus SARS-CoV2",327
"Rio de Janeiro","Coronavirus SARS-CoV2",298
"Rondônia","Coronavirus SARS-CoV2",259
Tocantins,"Coronavirus SARS-CoV2",245
"Mato Grosso do Sul","Coronavirus SARS-CoV2",219
"Ceará","Coronavirus SARS-CoV2",193
"Piauí","Coronavirus SARS-CoV2",170
"Goiás","Coronavirus SARS-CoV2",136
Acre,"Coronavirus SARS-CoV2",122
"Pará","Coronavirus SARS-CoV2",86
"Mato Grosso","Coronavirus SARS-CoV2",84
"Paraíba","Coronavirus SARS-CoV2",84
Roraima,"Coronavirus SARS-CoV2",73
"Maranhão","Coronavirus SARS-CoV2",59
Alagoas,"Coronavirus SARS-CoV2",45
"Amapá","Coronavirus SARS-CoV2",40
Amazonas,"Coronavirus SARS-CoV2",38
"Distrito Federal","Coronavirus SARS-CoV2",5
