"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.236"
"Paraná","Coronavirus SARS-CoV2",861
"Paraná",Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",316
"Rio de Janeiro","Coronavirus SARS-CoV2",288
Tocantins,"Coronavirus SARS-CoV2",240
"Minas Gerais","Coronavirus SARS-CoV2",204
"Minas Gerais","Virus Sincicial Respiratorio",1
Bahia,"Coronavirus SARS-CoV2",193
Bahia,Rinovirus,3
"Mato Grosso do Sul","Coronavirus SARS-CoV2",186
"Espírito Santo","Coronavirus SARS-CoV2",131
"Santa Catarina","Coronavirus SARS-CoV2",131
"Rondônia","Coronavirus SARS-CoV2",111
"Ceará","Coronavirus SARS-CoV2",106
"Rio Grande do Norte","Coronavirus SARS-CoV2",89
Pernambuco,"Coronavirus SARS-CoV2",63
"Goiás","Coronavirus SARS-CoV2",62
Sergipe,"Coronavirus SARS-CoV2",47
"Piauí","Coronavirus SARS-CoV2",44
"Paraíba","Coronavirus SARS-CoV2",29
Amazonas,"Coronavirus SARS-CoV2",20
"Pará","Coronavirus SARS-CoV2",20
Acre,"Coronavirus SARS-CoV2",14
Alagoas,"Coronavirus SARS-CoV2",11
"Maranhão","Coronavirus SARS-CoV2",10
"Mato Grosso","Coronavirus SARS-CoV2",3
Roraima,"Coronavirus SARS-CoV2",3
"Distrito Federal","Coronavirus SARS-CoV2",1
