"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Influenza B",4
"São Paulo","Influenza A",2
"São Paulo","Virus Sincicial Respiratorio",2
"São Paulo",Adenovirus,1
"São Paulo","Coronavirus SARS-CoV2",1
"Paraná",Rinovirus,3
"Paraná","Influenza A",2
"Paraná","Coronavirus 229E",1
"Paraná","Influenza B",1
"Paraná",Metapneumovirus,1
"Paraná","Parainfluenza tipo 2",1
Amazonas,"Virus Sincicial Respiratorio",4
Bahia,"Influenza A",2
Bahia,Enterovirus,1
Bahia,"Influenza B",1
"Maranhão","Influenza A",4
"Ceará","Influenza A",2
"Ceará","Influenza B",1
"Rio de Janeiro","Influenza B",2
"Pará","Influenza A",1
"Rio Grande do Norte","Influenza B",1
"Santa Catarina","Virus Sincicial Respiratorio",1
