"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","1.004"
"Paraná","Coronavirus SARS-CoV2",552
"Paraná",Rinovirus,1
Bahia,"Coronavirus SARS-CoV2",269
Bahia,Rinovirus,1
"Rio Grande do Sul","Coronavirus SARS-CoV2",241
"Santa Catarina","Coronavirus SARS-CoV2",181
"Minas Gerais","Coronavirus SARS-CoV2",162
"Espírito Santo","Coronavirus SARS-CoV2",140
"Rio de Janeiro","Coronavirus SARS-CoV2",139
"Mato Grosso do Sul","Coronavirus SARS-CoV2",120
"Ceará","Coronavirus SARS-CoV2",117
"Rondônia","Coronavirus SARS-CoV2",92
Tocantins,"Coronavirus SARS-CoV2",87
"Goiás","Coronavirus SARS-CoV2",78
Pernambuco,"Coronavirus SARS-CoV2",78
"Rio Grande do Norte","Coronavirus SARS-CoV2",64
Sergipe,"Coronavirus SARS-CoV2",57
"Piauí","Coronavirus SARS-CoV2",47
"Pará","Coronavirus SARS-CoV2",22
"Paraíba","Coronavirus SARS-CoV2",21
Amazonas,"Coronavirus SARS-CoV2",13
"Maranhão","Coronavirus SARS-CoV2",8
"Maranhão","Influenza A",1
Acre,"Coronavirus SARS-CoV2",7
"Distrito Federal","Coronavirus SARS-CoV2",5
Alagoas,"Coronavirus SARS-CoV2",4
"Amapá","Coronavirus SARS-CoV2",2
Roraima,"Coronavirus SARS-CoV2",2
